Vendor,Model,ModelID,Mode,Objective,Fund_+_Market_LS_CAGR,Fund_+_Market_LS_Sharpe,Fund_+_Market_Mean_IC,Fund_only_LS_CAGR,Fund_only_LS_Sharpe,Fund_only_Mean_IC,Market_only_LS_CAGR,Market_only_LS_Sharpe,Market_only_Mean_IC
OpenAI,GPT-4o,gpt-4o-2024-05-13,return,Exp. Return,-0.2063135919267562,-0.5788252278545757,0.0355479012294683,0.0033317512411670247,0.15060571081025872,0.023688227870002104,2.177032625565431,3.7934174011169284,0.5009935147866181
OpenAI,GPT-4o mini,gpt-4o-mini-2024-07-18,return,Exp. Return,-0.4324377426962511,-2.3039502040322444,-0.205151438227466,0.10429932824400678,0.5883187440397059,-0.011713341149632593,-0.6423410086112135,-3.7327508581242514,-0.35649633114400725
OpenAI,GPT-4.1,gpt-4.1-2025-04-14,return,Exp. Return,0.8698258259697804,1.943098499280324,0.2708957114840553,0.1645935005629673,0.6428070771335704,0.10449200230609527,1.9688680528958549,3.1726603587552704,0.32676518883415434
OpenAI,GPT-4.1 mini,gpt-4.1-mini-2025-04-14,return,Exp. Return,1.0919566861636405,2.2744948380992063,0.2935864594210001,0.3910625614598988,1.0671960525152977,0.12431109195815078,-0.27806203348036074,-0.8492048505713663,0.013686825451565484
OpenAI,GPT-4.1 nano,gpt-4.1-nano,return,Exp. Return,0.2095003020074759,0.8264752263417136,0.1623224421867769,-0.16675675388128264,-0.6697851080811554,0.005307978740473024,0.5857063881645126,1.8174383442150381,0.18164007972703627
OpenAI,o4-mini,o4-mini,return,Exp. Return,0.4955273998417275,1.3417787527166296,0.2459200547834276,0.2604583402443357,0.9013681455848056,0.0580289391323874,0.845668532791346,1.9918579055885608,0.20134646962233166
OpenAI,o3,o3,return,Exp. Return,1.32676332763653,2.52152476933054,0.3104983867190473,0.43047865843963073,1.183918493161689,0.09609195402298848,1.5844502048157851,2.834941135678393,0.30430213464696215
Google,Gemini 2.5 Flash,gemini-2.5-flash,return,Exp. Return,1.0083373604492998,2.0252332203006564,0.3444718970062008,0.012892865998848979,0.2527306272203304,-0.06666666666666667,0.6107908404793041,1.1942191128950614,0.4749999999999999
Google,Gemini 2.5 Pro,gemini-2.5-pro,return,Exp. Return,0.9322700435521438,1.8052124746307583,0.2724143923678531,0.22092944133203662,0.7579694442826618,0.08497536945812806,1.072212780319632,1.9149469231596767,0.23433032695836953
Anthropic,Claude Sonnet 4,claude-sonnet-4-20250514,return,Exp. Return,1.3350618129525458,2.768040757907288,0.3758039564804867,0.15337782864275895,0.609866044784954,0.04459648482636988,1.4521707230192389,2.9161396900072614,0.3699233716475095
Anthropic,Claude Opus 4,claude-opus-4-20250514,return,Exp. Return,1.2909666748974558,2.4822476646960467,0.4332525045092317,0.1519076441813385,0.5964748787160631,0.04663382594417075,1.4135373929563975,2.6073652438989563,0.37055281882868085
OpenAI,GPT-4o,gpt-4o-2024-05-13,sharpe,Sharpe,-0.5917417387055108,-2.59994531638485,-0.2475857329325049,-0.07784785593686538,-0.19364836133932564,0.005744895954125216,1.0708994552412179,2.388975018341858,0.3105881392207111
OpenAI,GPT-4o mini,gpt-4o-mini-2024-07-18,sharpe,Sharpe,-0.4328697711571361,-2.3013895403509546,-0.1553989652521167,-0.01917963793066746,0.021553810277514598,-0.015105436727690618,-0.46865890371150165,-2.0587156442036307,-0.16853467432723257
OpenAI,GPT-4.1,gpt-4.1-2025-04-14,sharpe,Sharpe,0.9590892051900376,2.122605936683416,0.3257303503361616,-0.023241452982206257,0.06435643408966966,0.05542710603915294,1.0354387182116929,2.442184127603316,0.3174338802438574
OpenAI,GPT-4.1 mini,gpt-4.1-mini-2025-04-14,sharpe,Sharpe,1.389429277676538,2.8101237139089688,0.3461549938849184,0.5381635097151816,1.1413211129102692,0.12873489643604588,0.3389869844384501,1.087491665173415,0.18282368461678802
OpenAI,GPT-4.1 nano,gpt-4.1-nano,sharpe,Sharpe,0.0801437638046589,0.4210451717099083,0.1876087020022946,-0.2097289706620571,-0.9469493953626036,0.03988256160228069,-0.08229443568860195,-0.23141253753648455,0.1330090805388119
OpenAI,o4-mini,o4-mini,sharpe,Sharpe,0.3031017871573196,0.8898329769390284,0.2399381233885724,-0.06303607746318107,-0.10316847257725602,0.030968801313628884,0.043868042640198945,0.29533446735838065,0.18318555008210174
OpenAI,o3,o3,sharpe,Sharpe,0.8111911331209753,2.0108387244127104,0.3064625259315203,-0.24893738965757206,-1.0992272806007488,0.013399014778325124,0.6791570533879672,1.8689528523742769,0.2858784893267652
Google,Gemini 2.5 Flash,gemini-2.5-flash,sharpe,Sharpe,-0.0168327768140433,0.1702006075050437,0.1909799744992442,0.141558339849301,0.5606562290789132,0.020000000000000007,2.507428165488129,3.192013507357919,-0.09999999999999999
Google,Gemini 2.5 Pro,gemini-2.5-pro,sharpe,Sharpe,0.1465625365293823,0.5433045566667678,0.2500444981908543,-0.12265438922335048,-0.4206461200047529,0.0019157088122605337,0.8311312078556117,1.834928628643864,0.20105090311986856
Anthropic,Claude Sonnet 4,claude-sonnet-4-20250514,sharpe,Sharpe,1.2191541004877924,2.428373986490836,0.3279027515723614,-0.2523322381348444,-0.9818230526262244,-0.015809158912607178,0.8161382104134742,2.087187712831026,0.3136562671045429
Anthropic,Claude Opus 4,claude-opus-4-20250514,sharpe,Sharpe,0.3382831374043078,1.0075636715448408,0.2295514710799283,-0.2293641326773881,-0.8485109800501355,0.007558979972773074,1.0384945180738918,2.578545001779188,0.29994526546250677
OpenAI,GPT-4o,gpt-4o-2024-05-13,sortino,Sortino,-0.5232777851406636,-2.249688796119365,-0.1559292395412,-0.007995238956254536,0.08437869907694474,0.015419364813820544,-0.3753161342623822,-1.3062473057683552,-0.107399114295666
OpenAI,GPT-4o mini,gpt-4o-mini-2024-07-18,sortino,Sortino,-0.4927853356256119,-2.836972342665504,-0.2359643302127569,-0.004303915166125161,0.07919771540544161,0.01942264339210814,-0.5266439721181111,-2.489770700579415,-0.1820475587492079
OpenAI,GPT-4.1,gpt-4.1-2025-04-14,sortino,Sortino,0.3479038849619316,1.0184826281419936,0.1949599942784242,0.02774596212873992,0.2362248756714211,0.1272647525295406,1.5181509443152428,2.9256711206678694,0.3755883962780514
OpenAI,GPT-4.1 mini,gpt-4.1-mini-2025-04-14,sortino,Sortino,0.715239726441226,1.8795882170818583,0.3593971380467419,0.22029214508268047,0.641839856557549,-0.02085206006774634,-0.2440955970335702,-0.8302643287750419,-0.006899077933560693
OpenAI,GPT-4.1 nano,gpt-4.1-nano,sortino,Sortino,-0.0948035654509324,-0.2430672493344074,0.1184035736520208,0.08672796669551852,0.4803505059505253,0.0964806581360719,0.6682004479336991,2.159648982546682,0.2012222957989548
OpenAI,o4-mini,o4-mini,sortino,Sortino,0.3917387423878378,1.0604071856888266,0.2416616803461195,-0.29206601063713034,-1.3112437191093809,-0.0003940886699507281,0.37014239447911446,1.2579120850181518,0.1925451559934318
OpenAI,o3,o3,sortino,Sortino,0.4642654322416255,1.263913892995668,0.314647717056439,-0.324638851514926,-1.5057620549229078,0.005714285714285711,0.8847827444413465,2.2786543311071115,0.28899835796387513
Google,Gemini 2.5 Flash,gemini-2.5-flash,sortino,Sortino,0.092142305460344,0.4288907409977037,0.1977407367761927,0.05321396980311843,0.3253748612983074,0.17500000000000002,0.6958470970153805,1.523806181504766,-0.07499999999999998
Google,Gemini 2.5 Pro,gemini-2.5-pro,sortino,Sortino,0.3737429821681686,1.0116456901815871,0.2910629966767282,0.015429823210609372,0.19041115063140718,0.010180623973727411,0.8211498519390472,1.8760417587545335,0.2608591712547087
Anthropic,Claude Sonnet 4,claude-sonnet-4-20250514,sortino,Sortino,-0.0415841020530045,0.0906117933400687,0.285446801177001,-0.3602662464607216,-1.6666617751020574,-0.06220580186097427,1.1041803937526633,2.6994414174318297,0.3526546250684181
Anthropic,Claude Opus 4,claude-opus-4-20250514,sortino,Sortino,1.0273812716542945,2.120408859035112,0.3824436745955657,-0.11273393757394823,-0.33134927459885766,-0.006431308155446081,1.7862011941346947,3.3599282652864932,0.40062944718117127
