Model,Mode,α (ann),t(α),β(Mkt),β(SMB),β(HML),β(RMW),β(CMA),β(MOM),R² adj
GPT-4o,return,-11.511487511759066,-0.5623260043181104,0.2433134845344042,0.10501082059957682,-0.30447861668277926,0.19575958252207196,-0.4527542178190771,0.09412726411722892,0.04413100033158235
GPT-4o mini,return,-35.193790895774114,-3.1682558121474,-0.01884247074596871,-0.08984883549111924,0.057917908699024453,0.21450882509651104,-0.12877891091489485,-0.3287203013675033,0.036997261084622535
GPT-4.1,return,92.17288922890954,2.246075019406752,0.5443775576572824,0.14080143539262518,-0.5881234786067103,-0.4440501425770801,0.021917472960184346,0.3890280913315207,0.2596656724278711
GPT-4.1 mini,return,157.42479927897853,2.5712915298352765,0.08623788999747097,-0.4034013509581009,0.07598385331638323,-0.9315751710189373,-1.5710218877991675,-0.10151897906695209,0.07876779078262286
Gemini 2.5 Flash,return,112.72639198649723,2.5952575190271645,0.41259030874287445,0.1289460318433579,-0.5997233089093361,-0.28575994154956985,0.12600956508837527,0.6556656039020086,0.2139113722879714
Gemini 2.5 Pro,return,87.60557218070106,2.136814914239775,0.8300524033684407,-0.0597820147879484,-0.6376639270484025,-0.7542912975982143,0.3966274280370012,0.5081450378673759,0.3817482066840633
Gemini 3 Flash,return,299.996094630422,5.388129009235877,0.19960179658479532,0.1875380428800556,-0.6450010778774771,-0.4905888639282997,-0.0180889909337516,0.6666551756546928,0.19728562213418077
Gemini 3 Pro,return,189.86287383026976,3.480592162469033,0.47796867309527585,0.1520039291099003,-0.6059723624955199,-0.41651026905303806,0.3349333405438761,0.6611996856428333,0.23697015057672544
Claude Haiku 4.5,return,203.3148061363685,4.694706984165211,0.5175710725818644,-0.4135174761708334,-0.21951875883689506,-0.3388058213631894,-1.1045591942952255,-0.1340863048881335,0.2262400884692486
Claude Sonnet 4,return,144.68073568045287,4.12428992247347,0.41219245218905504,-0.16337550615334015,-0.3530735933616666,-0.27214359686719714,-0.681836338153065,0.3684500015647275,0.20384098455527822
Claude Opus 4,return,129.61691857573402,3.122964194574247,0.6819679711172307,-0.05953368122280026,-0.18342250998273954,-0.4155829003874699,-0.06210094724310289,0.5881106283920193,0.2648678132414769
GPT-4o,sharpe,-49.70833157279259,-3.286792303196817,0.21303278190051753,-0.05335391078362093,-0.2302257665499693,0.36047261889942195,0.41911580184386965,-0.26643976790669843,0.025923980764849475
GPT-4o mini,sharpe,-34.39410390212158,-3.015117815829265,0.12137120458003836,-0.15718567459482063,-0.10165118848775093,0.17164601307669008,0.1452436358181236,-0.3366594425959371,0.03347055329101323
GPT-4.1,sharpe,111.82765936915536,2.4674282519712674,0.2327064937277093,-0.42249978084018225,-0.047122614667236884,-0.215615388847045,-1.604131648054757,-0.4776899044437135,0.11429404804578702
GPT-4.1 mini,sharpe,99.95696987825636,2.3192126478901693,0.6335601129116646,-0.1430857199295875,-0.3933093031263554,-0.1305305676948477,-0.7122206905893681,0.13050779997653544,0.16718517832750301
Gemini 2.5 Flash,sharpe,23.679116309584924,0.6098060547108323,-0.05398214123785864,-0.13806577631407557,-0.30925338520145235,0.2977634816295599,-0.4197271193489134,-0.015052255761023429,0.006156119781430824
Gemini 2.5 Pro,sharpe,41.337307441917794,1.0724138692926724,-0.033651488399339305,-0.8796114302330416,-0.049772112407981066,-0.2931485471535522,-1.1675641661364997,-0.49829981332545425,0.07240176140046939
Gemini 3 Flash,sharpe,131.10805883665986,3.3764006300006497,0.06685437193988082,-0.5208755076136277,-0.03484149941943615,0.27519502243731375,-1.0908211137444537,-0.03449659020936415,0.089760120025826
Gemini 3 Pro,sharpe,222.69717862941008,4.636736701009637,-0.12050421191887205,-0.23256082230011807,-0.19168847193761465,-0.20909977629877308,-0.41259826906355845,0.053428584436056324,0.01426872948620972
Claude Haiku 4.5,sharpe,76.96357494737869,2.340862259707591,0.5410474274585728,-0.47299164387083037,0.06811040593337972,-0.6550000507964435,-0.9003454949779046,0.11531973610044073,0.3091709808256422
Claude Sonnet 4,sharpe,158.85495653972094,3.6338731011313787,0.08343347020149186,-0.23433477791358284,0.10465482967810041,0.1490691115491754,-1.097991221257831,-0.012127328251567945,0.049331755857325965
Claude Opus 4,sharpe,59.61825016844191,1.609042240215236,0.18172356589455346,-0.56723272359981,0.5554166755029369,0.16634076604722026,-0.7664179219158935,-0.24994083174755904,0.062205060625906694
GPT-4o,sortino,-44.521191327633645,-2.912711047778177,0.28225639138495034,-0.1461803294462408,0.03490610490873884,0.31949502171060407,0.12676177262898305,-0.1292573640177131,0.01472894906538047
GPT-4o mini,sortino,-39.75269115310848,-3.9983310514467467,-0.11956637282401712,-0.08410278520504696,0.10503272461429625,0.1621371608306744,0.13430071278075797,-0.18503038010684297,0.03742226173640695
GPT-4.1,sortino,49.30220118464672,1.2373731113267559,0.20614793468843648,-0.16577875487024982,-0.3006873151243837,-0.37157218541202314,-1.1183179822712037,-0.3548422444536568,0.07666710434709856
GPT-4.1 mini,sortino,37.493356207167984,1.1510103899351378,-0.009151432269251369,-0.056533643315999735,0.13610059751173403,-0.16114210097645684,-1.0036717910278012,0.3666422066277291,0.09451611523853376
Gemini 2.5 Flash,sortino,40.6926655329237,1.0678607979232821,-0.3399877383975931,-0.6187523939970272,0.10387137802074735,0.11569970267419516,-1.2972705699280065,-0.3469848194213333,0.1012429019342117
Gemini 2.5 Pro,sortino,82.68004566644063,2.203935598744117,-0.3076218777499708,-0.3736227398413089,-0.06089913724901111,0.5845045021903876,-1.3684075836422982,-0.45802535111020426,0.15677418543239752
Gemini 3 Flash,sortino,124.57658835010048,2.9331583665847623,-0.3094583714135807,-0.42407434388291276,0.18959045978839492,0.25132211206286886,-1.191204753798354,-0.15075525024999267,0.11368476168929265
Gemini 3 Pro,sortino,179.15046571607215,4.292968816741839,-0.2674573360228695,-0.3507194118559166,0.24537704978145403,0.23645956615428193,-0.8050719681809276,-0.07434114977615798,0.10681442043695177
Claude Haiku 4.5,sortino,122.17458368952659,3.7735653220947505,0.2745676522957526,-0.3022225437034879,-0.11631629181048558,-0.0010773238180755464,-0.8199904788884429,-0.026112018588569222,0.11515494776758695
Claude Sonnet 4,sortino,21.03028846310786,0.6417821278313093,0.018843045877650212,-0.35554439412857064,0.05850663586928379,0.5926887394308717,-0.47937449029221973,-0.06903176732524874,0.03623681361294817
Claude Opus 4,sortino,139.33146987836545,2.922221893807516,0.24274774424202938,-0.2204150347137511,-0.036243853607119327,0.38342485707041435,-1.3958108628353196,-0.13187139049389288,0.08237990168441522
